zona,anio,mes,pasajeros_mun,extranjeros_mun,dengue_ctx,residuos_ton,gini,pobreza,ingreso,oni_ctx,rnt_prestadores,rnt_camas,rnt_habitaciones,peso_turistico,nivel_turistico,score_pca,residuos_zona,alerta_residuos,alerta_presion,alerta_sanitaria,alerta_hidrica,alerta_servicios,alerta_gentrificacion,ocupacion_proxy,estacionalidad,residuos_per_turista
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2016,1,147917.0,2379,49.0,120312.45,0.45,37.1,543452.0,2.63,1542.0,16498.0,10007.0,1.0,Alto,32.5,120312.45,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,8.9658,1.1707,0.5952
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2016,2,107775.0,2407,9.0,120312.45,0.45,37.1,543452.0,2.28,1542.0,16498.0,10007.0,1.0,Alto,25.4,120312.45,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,6.5326,0.853,0.7497
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2016,3,113110.0,1980,11.0,120312.45,0.45,37.1,543452.0,1.71,1542.0,16498.0,10007.0,1.0,Alto,24.3,120312.45,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,6.856,0.8952,0.7245
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2016,4,104933.0,1899,2.0,120312.45,0.45,37.1,543452.0,1.05,1542.0,16498.0,10007.0,1.0,Alto,22.4,120312.45,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,6.3603,0.8305,0.7639
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2016,5,116544.0,1653,5.0,120312.45,0.45,37.1,543452.0,0.49,1542.0,16498.0,10007.0,1.0,Alto,22.5,120312.45,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.0641,0.9224,0.7092
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2016,6,127120.0,1427,7.0,120312.45,0.45,37.1,543452.0,0.0,1542.0,16498.0,10007.0,1.0,Alto,22.5,120312.45,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.7052,1.0061,0.666
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2016,7,125334.0,1905,7.0,120312.45,0.45,37.1,543452.0,-0.31,1542.0,16498.0,10007.0,1.0,Alto,24.3,120312.45,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.5969,0.992,0.6729
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2016,8,131145.0,1667,6.0,120312.45,0.45,37.1,543452.0,-0.5,1542.0,16498.0,10007.0,1.0,Alto,23.6,120312.45,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.9491,1.038,0.651
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2016,9,128655.0,1524,7.0,120312.45,0.45,37.1,543452.0,-0.58,1542.0,16498.0,10007.0,1.0,Alto,23.0,120312.45,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.7982,1.0183,0.6602
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2016,10,135518.0,1628,6.0,120312.45,0.45,37.1,543452.0,-0.64,1542.0,16498.0,10007.0,1.0,Alto,23.7,120312.45,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,8.2142,1.0726,0.6354
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2016,11,136022.0,1766,3.0,120312.45,0.45,37.1,543452.0,-0.6,1542.0,16498.0,10007.0,1.0,Alto,24.0,120312.45,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,8.2448,1.0766,0.6337
